Filename,Run Count,Last Run Date
"C:\Users\Administrator.PKPFCOBCJR3FR2J\AppData\Roaming\Scooter Software",2,131672975965978912
"D:\newClient\output\Dlls",1,131710929550997307
"D:\重装\zhuomian\桌面\Dlls.zip",1,131710929373677307
"C:\Users\Administrator\AppData\Roaming\Scooter Software",1,131679195259133191
"C:\Qt\Qt5.5.1\5.5\msvc2010\include\QtCore\qbytearraylist.h",1,131679120315706672
"C:\Qt\Qt5.5.1\5.5\msvc2010\include\QtCore\qlist.h",1,131679118609499083
"C:\Users\Administrator.PKPFCOBCJR3FR2J\Downloads\GMP中文.pdf",1,131665163030561757
"D:\SVN\War3Lobby\Resource\Qml\GameRoomView\Common\GameRoomSlot\GameRoomSlotPicker.qml",1,131553727519700345
"C:\Qt\Qt5.5.1\5.5\Src\qtbase\src\widgets\widgets\qtextedit.cpp",1,131527684750021337
"C:\Qt\Qt5.5.1\5.5\msvc2010\qml\QtQuick\Controls\Menu.qml",1,131522676682654405
"D:\SVN\output\resource\Common\Script\YY\Qml\Controls\Button\YYBorderButton.qml",1,131510417508885925
"C:\Users\zhangyongqing\AppData\Local\YiYi\11IM\Config\368784541\IMDB.dat",1,131487283580472869
"C:\Qt\Qt5.5.1\5.5\msvc2010\include\QtWebKit\5.5.1\QtWebKit",1,131450126943650325
